block,run_id,cell,pair,role,phase,sample,q_before_ns,windows_ns,q_after_ns,rtt_ns,offset_windows_minus_q_ns
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,4,source_init,before,2,1784150677392484000,1784150672787792300,1784150677392948000,464000,-4604923700
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,4,source_init,before,3,1784150677393233000,1784150672788475500,1784150677393540000,307000,-4604911000
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,4,source_init,after,1,1784150679067081000,1784150674736809500,1784150679346358000,279277000,-4469910000
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,4,source_init,after,2,1784150679347051000,1784150674742497500,1784150679347779000,728000,-4604917500
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,4,source_init,after,3,1784150679348075000,1784150674743397300,1784150679348638000,563000,-4604959200
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,4,destination_init,before,1,1784150686741881000,1784150682421696600,1784150687031598000,289717000,-4465042900
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,4,destination_init,before,2,1784150687032437000,1784150682427784400,1784150687033057000,620000,-4604962600
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,4,destination_init,before,3,1784150687033341000,1784150682428572800,1784150687033778000,437000,-4604986700
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,4,destination_init,after,1,1784150688363486000,1784150684026893000,1784150688636437000,272951000,-4473068500
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,4,destination_init,after,2,1784150688637248000,1784150684032542900,1784150688637730000,482000,-4604946100
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,4,destination_init,after,3,1784150688637963000,1784150684033187900,1784150688638337000,374000,-4604962100
1,20260715T211759Z.30531-b1-off,wm_tcp_large,4,source_init,before,1,1784150694308280000,1784150689990222700,1784150694600741000,292461000,-4464287800
1,20260715T211759Z.30531-b1-off,wm_tcp_large,4,source_init,before,2,1784150694601559000,1784150689996753100,1784150694602028000,469000,-4605040400
1,20260715T211759Z.30531-b1-off,wm_tcp_large,4,source_init,before,3,1784150694602301000,1784150689997454100,1784150694602655000,354000,-4605023900
1,20260715T211759Z.30531-b1-off,wm_tcp_large,4,source_init,after,1,1784150696326021000,1784150692006455000,1784150696616037000,290016000,-4464574000
1,20260715T211759Z.30531-b1-off,wm_tcp_large,4,source_init,after,2,1784150696616814000,1784150692012031000,1784150696617299000,485000,-4605025500
